1	Two Sum	Easy	58.1%
14	Longest Common Prefix	Easy	48.3%
20	Valid Parentheses	Easy	44.8%
21	Merge Two Sorted Lists	Easy	68.8%
26	Remove Duplicates from Sorted Array	Easy	63.6%
28	Find the Index of the First Occurrence in a String	Easy	47.2%
35	Search Insert Position	Easy	52.1%
66	Plus One	Easy	50.5%
67	Add Binary	Easy	58.5%
69	Sqrt(x)	Easy	42.2%
70	Climbing Stairs	Easy	54.3%
83	Remove Duplicates from Sorted List	Easy	57.4%
100	Same Tree	Easy	67.9%
104	Maximum Depth of Binary Tree	Easy	78.6%
108	Convert Sorted Array to Binary Search Tree	Easy	76.0%
110	Balanced Binary Tree	Easy	59.1%
111	Minimum Depth of Binary Tree	Easy	53.6%
112	Path Sum	Easy	55.6%
121	Best Time to Buy and Sell Stock	Easy	57.3%
125	Valid Palindrome	Easy	54.2%
136	Single Number	Easy	78.2%
141	Linked List Cycle	Easy	55.0%
160	Intersection of Two Linked Lists	Easy	64.5%
169	Majority Element	Easy	66.5%
190	Reverse Bits	Easy	69.2%
191	Number of 1 Bits	Easy	77.4%
193	Valid Phone Numbers	Easy	30.7%
195	Tenth Line	Easy	37.5%
202	Happy Number	Easy	60.2%
203	Remove Linked List Elements	Easy	55.3%
205	Isomorphic Strings	Easy	49.0%
206	Reverse Linked List	Easy	81.0%
217	Contains Duplicate	Easy	64.7%
219	Contains Duplicate II	Easy	51.8%
225	Implement Stack using Queues	Easy	70.5%
226	Invert Binary Tree	Easy	80.4%
231	Power of Two	Easy	50.5%
232	Implement Queue using Stacks	Easy	70.3%
234	Palindrome Linked List	Easy	58.7%
242	Valid Anagram	Easy	68.6%
258	Add Digits	Easy	69.3%
268	Missing Number	Easy	72.6%
278	First Bad Version	Easy	47.6%
283	Move Zeroes	Easy	64.3%
292	Nim Game	Easy	60.4%
303	Range Sum Query - Immutable	Easy	73.3%
326	Power of Three	Easy	51.5%
338	Counting Bits	Easy	80.8%
342	Power of Four	Easy	52.5%
374	Guess Number Higher or Lower	Easy	58.2%
387	First Unique Character in a String	Easy	66.2%
415	Add Strings	Easy	52.2%
455	Assign Cookies	Easy	55.5%
459	Repeated Substring Pattern	Easy	48.7%
496	Next Greater Element I	Easy	76.7%
501	Find Mode in Binary Search Tree	Easy	59.3%
509	Fibonacci Number	Easy	74.6%
530	Minimum Absolute Difference in BST	Easy	59.7%
543	Diameter of Binary Tree	Easy	66.1%
561	Array Partition	Easy	82.1%
566	Reshape the Matrix	Easy	65.5%
572	Subtree of Another Tree	Easy	52.1%
653	Two Sum IV - Input is a BST	Easy	63.6%
657	Robot Return to Origin	Easy	78.2%
680	Valid Palindrome II	Easy	44.7%
682	Baseball Game	Easy	81.0%
700	Search in a Binary Search Tree	Easy	83.1%
703	Kth Largest Element in a Stream	Easy	61.5%
704	Binary Search	Easy	61.3%
705	Design HashSet	Easy	68.4%
706	Design HashMap	Easy	66.8%
746	Min Cost Climbing Stairs	Easy	68.7%
762	Prime Number of Set Bits in Binary Representation	Easy	79.0%
783	Minimum Distance Between BST Nodes	Easy	61.8%
796	Rotate String	Easy	66.6%
812	Largest Triangle Area	Easy	72.1%
819	Most Common Word	Easy	45.3%
832	Flipping an Image	Easy	84.0%
836	Rectangle Overlap	Easy	47.0%
844	Backspace String Compare	Easy	50.2%
867	Transpose Matrix	Easy	77.1%
876	Middle of the Linked List	Easy	82.3%
883	Projection Area of 3D Shapes	Easy	76.6%
892	Surface Area of 3D Shapes	Easy	71.3%
897	Increasing Order Search Tree	Easy	79.1%
914	X of a Kind in a Deck of Cards	Easy	30.5%
933	Number of Recent Calls	Easy	79.0%
938	Range Sum of BST	Easy	87.6%
961	N-Repeated Element in Size 2N Array	Easy	80.0%
976	Largest Perimeter Triangle	Easy	62.5%
999	Available Captures for Rook	Easy	72.1%
1021	Remove Outermost Parentheses	Easy	87.4%
1025	Divisor Game	Easy	72.5%
1030	Matrix Cells in Distance Order	Easy	74.6%
1037	Valid Boomerang	Easy	40.1%
1046	Last Stone Weight	Easy	66.8%
1051	Height Checker	Easy	82.0%
1071	Greatest Common Divisor of Strings	Easy	54.3%
1114	Print in Order	Easy	73.3%
1122	Relative Sort Array	Easy	75.4%
1137	N-th Tribonacci Number	Easy	63.1%
1175	Prime Arrangements	Easy	62.0%
1232	Check If It Is a Straight Line	Easy	40.3%
1260	Shift 2D Grid	Easy	74.5%
1266	Minimum Time Visiting All Points	Easy	84.8%
1275	Find Winner on a Tic Tac Toe Game	Easy	54.7%
1290	Convert Binary Number in a Linked List to Integer	Easy	82.4%
1365	How Many Numbers Are Smaller Than the Current Number	Easy	87.5%
1408	String Matching in an Array	Easy	69.8%
1455	Check If a Word Occurs As a Prefix of Any Word in a Sentence	Easy	68.8%
1475	Final Prices With a Special Discount in a Shop	Easy	84.3%
1603	Design Parking System	Easy	87.2%
1614	Maximum Nesting Depth of the Parentheses	Easy	85.1%
1656	Design an Ordered Stream	Easy	82.7%
1668	Maximum Repeating Substring	Easy	42.3%
1700	Number of Students Unable to Eat Lunch	Easy	80.0%
1763	Longest Nice Substring	Easy	64.7%
1859	Sorting the Sentence	Easy	84.2%
1863	Sum of All Subset XOR Totals	Easy	90.1%
1913	Maximum Product Difference Between Two Pairs	Easy	83.1%
1952	Three Divisors	Easy	64.8%
1971	Find if Path Exists in Graph	Easy	55.8%
1979	Find Greatest Common Divisor of Array	Easy	83.5%
2037	Minimum Number of Moves to Seat Everyone	Easy	87.1%
2073	Time Needed to Buy Tickets	Easy	73.2%
2094	Finding 3-Digit Even Numbers	Easy	78.6%
2185	Counting Words With a Given Prefix	Easy	84.4%
2303	Calculate Amount Paid in Taxes	Easy	69.5%
2363	Merge Similar Items	Easy	77.7%
2427	Number of Common Factors	Easy	80.4%
2481	Minimum Cuts to Divide a Circle	Easy	56.7%
2500	Delete Greatest Value in Each Row	Easy	80.5%
2515	Shortest Distance to Target String in a Circular Array	Easy	65.0%
2810	Faulty Keyboard	Easy	80.6%
2913	Subarrays Distinct Element Sum of Squares I	Easy	79.7%
